Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Bertassini, A.C., Zanon, L.G., Azarias, J.G., Gerolamo, M.C., Ometto, A.R.","57211943567; 57205544195; 57220834592; 6504619454; 14066545600","Circular Business Ecosystem Innovation: A guide for mapping stakeholders, capturing values, and finding new opportunities",2021,"Sustainable Production and Consumption",27,"",,436,448,,,10.1016/j.spc.2020.12.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097721568&partnerID=40&md5=ecb80416b1b3611e3b166719b34d42c8",Article,Final,,Scopus,2-s2.0-85097721568
"van Straten, B., Dankelman, J., van der Eijk, A., Horeman, T.","57216658965; 7003296968; 36624344900; 35322481100","A Circular Healthcare Economy; a feasibility study to reduce surgical stainless steel waste",2021,"Sustainable Production and Consumption",27,"",,169,175,,,10.1016/j.spc.2020.10.030,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85095445187&partnerID=40&md5=a2ab043357b8e3e9c59c6e47a3d64fb3",Article,Final,Open Access,Scopus,2-s2.0-85095445187
"Nandi, S., Sarkis, J., Hervani, A.A., Helms, M.M.","57216657139; 57194726123; 8685553200; 7004449066","Redesigning Supply Chains using Blockchain-Enabled Circular Economy and COVID-19 Experiences",2021,"Sustainable Production and Consumption",27,"",,10,22,,2,10.1016/j.spc.2020.10.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093099188&partnerID=40&md5=579cad7d029418c5f920f6567b9ca96a",Note,Final,,Scopus,2-s2.0-85093099188
"Mhatre, P., Panchal, R., Singh, A., Bibyan, S.","57219439333; 57216522636; 56003116400; 57219432404","A systematic literature review on the circular economy initiatives in the European Union",2021,"Sustainable Production and Consumption",26,"",,187,202,,,10.1016/j.spc.2020.09.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092741053&partnerID=40&md5=9c8148a33eacf5d6779318ef7c5297de",Review,Final,,Scopus,2-s2.0-85092741053
"Dokter, G., Thuvander, L., Rahe, U.","57220186655; 14323749200; 41262239800","How circular is current design practice? Investigating perspectives across industrial design and architecture in the transition towards a circular economy",2021,"Sustainable Production and Consumption",26,"",,692,708,,,10.1016/j.spc.2020.12.032,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098696539&partnerID=40&md5=b3e37d55b7c6a151fffeda00af307599",Article,Final,Open Access,Scopus,2-s2.0-85098696539
"Kerdlap, P., Gheewala, S.H., Ramakrishna, S.","55658613300; 6602264724; 57216849624","To Rent or Not to Rent: A Question of Circular Prams from a Life Cycle Perspective",2021,"Sustainable Production and Consumption",26,"",,331,342,,,10.1016/j.spc.2020.10.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093700394&partnerID=40&md5=c33518704a40ad5cbec9d32e79036eaa",Article,Final,,Scopus,2-s2.0-85093700394
"Dantas, T.E.T., de-Souza, E.D., Destro, I.R., Hammes, G., Rodriguez, C.M.T., Soares, S.R.","57216371047; 57211916112; 57219432769; 57202471061; 57220952072; 12142442100","How the combination of Circular Economy and Industry 4.0 can contribute towards achieving the Sustainable Development Goals",2021,"Sustainable Production and Consumption",26,"",,213,227,,1,10.1016/j.spc.2020.10.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092703098&partnerID=40&md5=513aacf8b3b7bcc612bed2bda7ac709a",Review,Final,,Scopus,2-s2.0-85092703098
"Harris, S., Martin, M., Diener, D.","55470008200; 56637408900; 56580055800","Circularity for circularity's sake? Scoping review of assessment methods for environmental performance in the circular economy.",2021,"Sustainable Production and Consumption",26,"",,172,186,,4,10.1016/j.spc.2020.09.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092302634&partnerID=40&md5=49b2149506152085ca6c24a10a0b5d86",Review,Final,Open Access,Scopus,2-s2.0-85092302634
"Wu, C.-Y., Hu, M.-C., Ni, F.-C.","37079632600; 9236610000; 57219437655","Supporting a circular economy: Insights from Taiwan's plastic waste sector and lessons for developing countries",2021,"Sustainable Production and Consumption",26,"",,228,238,,,10.1016/j.spc.2020.10.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092716743&partnerID=40&md5=821accf5930993eb6da1a655e53dd5ea",Article,Final,,Scopus,2-s2.0-85092716743
"Ortega Alvarado, I.A., Sutcliffe, T.E., Berker, T., Pettersen, I.N.","57219539386; 57219538333; 26038953300; 37089276900","Emerging circular economies: Discourse coalitions in a Norwegian case",2021,"Sustainable Production and Consumption",26,"",,360,372,,,10.1016/j.spc.2020.10.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093645740&partnerID=40&md5=918da9ea8b125e7639733bb529dc604b",Article,Final,Open Access,Scopus,2-s2.0-85093645740
